Membership No  Date Joined  Active  
    71418      2019-9-7     no    
    96454      2016-8-23    no    
    12134      2016-11-21   no    
    24822      2018-8-7     no    
    90594      2019-12-18   no    
    36241      2018-12-12   no    
    76299      2015-5-1     no    
    63922      2016-6-3     no    
    64016      2017-4-5     no    
    88656      2015-11-9    no    
    60097      2020-4-14    no    
    22832      2018-7-18    no    
    52096      2020-8-7     no    
    84040      2017-8-6     no    
    66248      2016-12-6    no    
